Match Number,Round Number,Date,Location,Home Team,Away Team,Result
126,13,05/12/2020 21:00,Stade de la Mosson,Montpellier Hérault SC,Paris Saint-Germain,1 - 3
124,13,06/12/2020 13:00,Stade Pierre-Mauroy,LOSC,AS Monaco,2 - 1
121,13,06/12/2020 15:00,Stade Raymond Kopa,Angers SCO,FC Lorient,2 - 0
122,13,06/12/2020 15:00,Matmut Atlantique,Girondins de Bordeaux,Stade Brestois 29,1 - 0
123,13,06/12/2020 15:00,Stade Gaston Gérard,Dijon FCO,AS Saint-Etienne,0 - 0
127,13,06/12/2020 15:00,Stade de la Beaujoire,FC Nantes,RC Strasbourg Alsace,0 - 4
129,13,06/12/2020 17:00,Stade Auguste Delaune,Stade de Reims,OGC Nice,0 - 0
125,13,06/12/2020 21:00,Stade Saint-Symphorien,FC Metz,Olympique Lyonnais,1 - 3
138,14,11/12/2020 21:00,Stade Geoffroy-Guichard,AS Saint-Etienne,Angers SCO,0 - 0
135,14,12/12/2020 17:00,Orange Vélodrome,Olympique de Marseille,AS Monaco,2 - 1
132,14,12/12/2020 21:00,Stade Bollaert-Delelis,RC Lens,Montpellier Hérault SC,2 - 3
137,14,13/12/2020 13:00,Allianz Riviera,OGC Nice,Stade Rennais FC,0 - 1
131,14,13/12/2020 15:00,Stade Francis-Le Blé,Stade Brestois 29,Stade de Reims,2 - 1
134,14,13/12/2020 15:00,Stade du Moustoir,FC Lorient,Nîmes Olympique,3 - 0
136,14,13/12/2020 15:00,Stade de la Beaujoire,FC Nantes,Dijon FCO,1 - 1
139,14,13/12/2020 15:00,Stade de la Meinau,RC Strasbourg Alsace,FC Metz,2 - 2
133,14,13/12/2020 17:00,Stade Pierre-Mauroy,LOSC,Girondins de Bordeaux,2 - 1
140,14,13/12/2020 21:00,Parc des Princes,Paris Saint-Germain,Olympique Lyonnais,0 - 1
141,15,16/12/2020 19:00,Stade Raymond Kopa,Angers SCO,RC Strasbourg Alsace,0 - 2
143,15,16/12/2020 19:00,Stade Gaston Gérard,Dijon FCO,LOSC,0 - 2
146,15,16/12/2020 19:00,Stade de la Mosson,Montpellier Hérault SC,FC Metz,0 - 2
147,15,16/12/2020 19:00,Stade des Costières,Nîmes Olympique,OGC Nice,0 - 2
149,15,16/12/2020 19:00,Stade Auguste Delaune,Stade de Reims,FC Nantes,3 - 2
142,15,16/12/2020 21:00,Matmut Atlantique,Girondins de Bordeaux,AS Saint-Etienne,1 - 2
144,15,16/12/2020 21:00,Groupama Stadium,Olympique Lyonnais,Stade Brestois 29,2 - 2
145,15,16/12/2020 21:00,Stade Louis II,AS Monaco,RC Lens,0 - 3
148,15,16/12/2020 21:00,Parc des Princes,Paris Saint-Germain,FC Lorient,2 - 0
150,15,16/12/2020 21:00,Roazhon Park,Stade Rennais FC,Olympique de Marseille,2 - 1
155,16,19/12/2020 17:00,Stade Saint-Symphorien,FC Metz,RC Lens,2 - 0
154,16,19/12/2020 19:00,Orange Vélodrome,Olympique de Marseille,Stade de Reims,1 - 1
157,16,19/12/2020 21:00,Allianz Riviera,OGC Nice,Olympique Lyonnais,1 - 4
151,16,20/12/2020 13:00,Stade Francis-Le Blé,Stade Brestois 29,Montpellier Hérault SC,2 - 2
152,16,20/12/2020 15:00,Stade Gaston Gérard,Dijon FCO,AS Monaco,0 - 1
156,16,20/12/2020 15:00,Stade de la Beaujoire,FC Nantes,Angers SCO,1 - 1
158,16,20/12/2020 15:00,Stade Geoffroy-Guichard,AS Saint-Etienne,Nîmes Olympique,2 - 2
159,16,20/12/2020 15:00,Stade de la Meinau,RC Strasbourg Alsace,Girondins de Bordeaux,0 - 2
153,16,20/12/2020 17:00,Stade du Moustoir,FC Lorient,Stade Rennais FC,0 - 3
160,16,20/12/2020 21:00,Stade Pierre-Mauroy,LOSC,Paris Saint-Germain,0 - 0
162,17,23/12/2020 19:00,Matmut Atlantique,Girondins de Bordeaux,Stade de Reims,1 - 3
163,17,23/12/2020 19:00,Stade Bollaert-Delelis,RC Lens,Stade Brestois 29,2 - 1
167,17,23/12/2020 19:00,Allianz Riviera,OGC Nice,FC Lorient,2 - 2
168,17,23/12/2020 19:00,Stade des Costières,Nîmes Olympique,Dijon FCO,1 - 3
170,17,23/12/2020 19:00,Roazhon Park,Stade Rennais FC,FC Metz,1 - 0
161,17,23/12/2020 21:00,Stade Raymond Kopa,Angers SCO,Olympique de Marseille,2 - 1
164,17,23/12/2020 21:00,Groupama Stadium,Olympique Lyonnais,FC Nantes,3 - 0
165,17,23/12/2020 21:00,Stade Louis II,AS Monaco,AS Saint-Etienne,2 - 2
166,17,23/12/2020 21:00,Stade de la Mosson,Montpellier Hérault SC,LOSC,2 - 3
169,17,23/12/2020 21:00,Parc des Princes,Paris Saint-Germain,RC Strasbourg Alsace,4 - 0
171,18,06/01/2021 19:00,Stade Francis-Le Blé,Stade Brestois 29,OGC Nice,2 - 0
173,18,06/01/2021 19:00,Stade du Moustoir,FC Lorient,AS Monaco,2 - 5
176,18,06/01/2021 19:00,Stade Saint-Symphorien,FC Metz,Girondins de Bordeaux,0 - 0
177,18,06/01/2021 19:00,Stade de la Beaujoire,FC Nantes,Stade Rennais FC,0 - 0
180,18,06/01/2021 19:00,Stade de la Meinau,RC Strasbourg Alsace,Nîmes Olympique,5 - 0
172,18,06/01/2021 21:00,Stade Pierre-Mauroy,LOSC,Angers SCO,1 - 2
174,18,06/01/2021 21:00,Groupama Stadium,Olympique Lyonnais,RC Lens,3 - 2
