Match Number,Round Number,Date,Location,Home Team,Away Team,Result
329,33,20/04/2019 15:00,Stadio Friuli,Udinese,Sassuolo,1 - 1
325,33,20/04/2019 18:00,Allianz Stadium,Juventus,Fiorentina,2 - 1
330,33,20/04/2019 20:30,Stadio Giuseppe Meazza,Inter,Roma,1 - 1
327,33,22/04/2019 19:00,Stadio San Paolo,Napoli,Atalanta,1 - 2
333,34,27/04/2019 15:00,Stadio Renato Dall'Ara,Bologna,Empoli,3 - 1
337,34,27/04/2019 18:00,Stadio Olimpico,Roma,Cagliari,3 - 0
331,34,27/04/2019 20:30,Stadio Giuseppe Meazza,Inter,Juventus,1 - 1
336,34,28/04/2019 12:30,Stadio Benito Stirpe,Frosinone,Napoli,0 - 2
334,34,28/04/2019 15:00,Stadio Marc'Antonio Bentegodi,Chievoverona,Parma,1 - 1
339,34,28/04/2019 15:00,Stadio Paolo Mazza,Spal,Genoa,1 - 1
338,34,28/04/2019 18:00,Stadio Luigi Ferraris,Sampdoria,Lazio,1 - 2
340,34,28/04/2019 20:30,Stadio Olimpico Grande Torino,Torino,Milan,2 - 0
332,34,29/04/2019 19:00,Stadio Atleti Azzurri d'Italia,Atalanta,Udinese,2 - 0
335,34,29/04/2019 21:00,Stadio Artemio Franchi,Fiorentina,Sassuolo,0 - 1
344,35,03/05/2019 20:30,Allianz Stadium,Juventus,Torino,1 - 1
341,35,04/05/2019 18:00,Stadio Marc'Antonio Bentegodi,Chievoverona,Spal,0 - 4
350,35,04/05/2019 20:30,Stadio Friuli,Udinese,Inter,0 - 0
342,35,05/05/2019 12:30,Stadio Carlo Castellani,Empoli,Fiorentina,1 - 0
345,35,05/05/2019 15:00,Stadio Olimpico,Lazio,Atalanta,1 - 3
348,35,05/05/2019 15:00,Stadio Ennio Tardini,Parma,Sampdoria,3 - 3
349,35,05/05/2019 15:00,Mapei Stadium – Città del Tricolore,Sassuolo,Frosinone,2 - 2
343,35,05/05/2019 18:00,Stadio Luigi Ferraris,Genoa,Roma,1 - 1
347,35,05/05/2019 20:30,Stadio San Paolo,Napoli,Cagliari,2 - 1
346,35,06/05/2019 20:30,Stadio Giuseppe Meazza,Milan,Bologna,2 - 1
351,36,11/05/2019 15:00,Mapei Stadium – Città del Tricolore,Atalanta,Genoa,2 - 1
353,36,11/05/2019 18:00,Sardegna Arena,Cagliari,Lazio,1 - 2
354,36,11/05/2019 20:30,Stadio Artemio Franchi,Fiorentina,Milan,0 - 1
359,36,12/05/2019 12:30,Stadio Olimpico Grande Torino,Torino,Sassuolo,3 - 2
355,36,12/05/2019 15:00,Stadio Benito Stirpe,Frosinone,Udinese,1 - 3
