Round Number,Date,Location,Home Team,Away Team,Result
18,06/01/2021 21:00,Stade Auguste Delaune,Stade de Reims,Dijon FCO,0 - 0
18,06/01/2021 21:00,Stade Geoffroy-Guichard,AS Saint-Etienne,Paris Saint-Germain,1 - 1
19,09/01/2021 21:00,Matmut Atlantique,Girondins de Bordeaux,FC Lorient,2 - 1
19,09/01/2021 21:00,Stade Gaston Gérard,Dijon FCO,Olympique de Marseille,0 - 0
19,09/01/2021 21:00,Stade Bollaert-Delelis,RC Lens,RC Strasbourg Alsace,0 - 1
19,09/01/2021 21:00,Stade Saint-Symphorien,FC Metz,OGC Nice,1 - 1
19,09/01/2021 21:00,Stade Louis II,AS Monaco,Angers SCO,3 - 0
19,09/01/2021 21:00,Stade de la Mosson,Montpellier Hérault SC,FC Nantes,1 - 1
19,09/01/2021 21:00,Stade des Costières,Nîmes Olympique,LOSC,0 - 1
19,09/01/2021 21:00,Parc des Princes,Paris Saint-Germain,Stade Brestois 29,3 - 0
19,09/01/2021 21:00,Stade Auguste Delaune,Stade de Reims,AS Saint-Etienne,3 - 1
19,09/01/2021 21:00,Roazhon Park,Stade Rennais FC,Olympique Lyonnais,2 - 2
20,15/01/2021 21:00,Stade de la Mosson,Montpellier Hérault SC,AS Monaco,
20,16/01/2021 17:00,Orange Vélodrome,Olympique de Marseille,Nîmes Olympique,
20,16/01/2021 21:00,Stade Raymond Kopa,Angers SCO,Paris Saint-Germain,
20,16/01/2021 21:00,Stade Pierre-Mauroy,LOSC,Stade de Reims,
20,17/01/2021 13:00,Stade Francis-Le Blé,Stade Brestois 29,Stade Rennais FC,
20,17/01/2021 15:00,Stade du Moustoir,FC Lorient,Dijon FCO,
20,17/01/2021 15:00,Stade de la Beaujoire,FC Nantes,RC Lens,
20,17/01/2021 15:00,Allianz Riviera,OGC Nice,Girondins de Bordeaux,
20,17/01/2021 17:00,Stade de la Meinau,RC Strasbourg Alsace,AS Saint-Etienne,
20,17/01/2021 21:00,Groupama Stadium,Olympique Lyonnais,FC Metz,
20,20/01/2021 21:00,Orange Vélodrome,Olympique de Marseille,RC Lens,
21,22/01/2021 21:00,Parc des Princes,Paris Saint-Germain,Montpellier Hérault SC,
21,23/01/2021 17:00,Stade Bollaert-Delelis,RC Lens,OGC Nice,
21,23/01/2021 21:00,Stade Louis II,AS Monaco,Olympique de Marseille,
21,24/01/2021 13:00,Matmut Atlantique,Girondins de Bordeaux,Angers SCO,
21,24/01/2021 15:00,Stade Gaston Gérard,Dijon FCO,RC Strasbourg Alsace,
21,24/01/2021 15:00,Stade Saint-Symphorien,FC Metz,FC Nantes,
21,24/01/2021 15:00,Stade des Costières,Nîmes Olympique,FC Lorient,
21,24/01/2021 15:00,Stade Auguste Delaune,Stade de Reims,Stade Brestois 29,
21,24/01/2021 17:00,Roazhon Park,Stade Rennais FC,LOSC,
21,24/01/2021 21:00,Stade Geoffroy-Guichard,AS Saint-Etienne,Olympique Lyonnais,
22,29/01/2021 21:00,Groupama Stadium,Olympique Lyonnais,Girondins de Bordeaux,
22,30/01/2021 17:00,Stade de la Mosson,Montpellier Hérault SC,RC Lens,
22,30/01/2021 21:00,Orange Vélodrome,Olympique de Marseille,Stade Rennais FC,
22,31/01/2021 13:00,Allianz Riviera,OGC Nice,AS Saint-Etienne,
22,31/01/2021 15:00,Stade Raymond Kopa,Angers SCO,Nîmes Olympique,
22,31/01/2021 15:00,Stade Francis-Le Blé,Stade Brestois 29,FC Metz,
22,31/01/2021 15:00,Stade du Moustoir,FC Lorient,Paris Saint-Germain,
22,31/01/2021 15:00,Stade de la Meinau,RC Strasbourg Alsace,Stade de Reims,
22,31/01/2021 17:00,Stade Pierre-Mauroy,LOSC,Dijon FCO,
22,31/01/2021 21:00,Stade de la Beaujoire,FC Nantes,AS Monaco,
23,03/02/2021 21:00,Matmut Atlantique,Girondins de Bordeaux,LOSC,
23,03/02/2021 21:00,Stade Gaston Gérard,Dijon FCO,Olympique Lyonnais,
23,03/02/2021 21:00,Stade Bollaert-Delelis,RC Lens,Olympique de Marseille,
23,03/02/2021 21:00,Stade Saint-Symphorien,FC Metz,Montpellier Hérault SC,
23,03/02/2021 21:00,Stade Louis II,AS Monaco,OGC Nice,
23,03/02/2021 21:00,Parc des Princes,Paris Saint-Germain,Nîmes Olympique,
23,03/02/2021 21:00,Stade Auguste Delaune,Stade de Reims,Angers SCO,
23,03/02/2021 21:00,Roazhon Park,Stade Rennais FC,FC Lorient,
