Round Number,Date,Location,Home Team,Away Team,Result
34,25/04/2021 21:00,Stade Auguste Delaune,Stade de Reims,Olympique de Marseille,
34,25/04/2021 21:00,Roazhon Park,Stade Rennais FC,Dijon FCO,
34,25/04/2021 21:00,Stade Geoffroy-Guichard,AS Saint-Etienne,Stade Brestois 29,
34,25/04/2021 21:00,Stade de la Meinau,RC Strasbourg Alsace,FC Nantes,
35,02/05/2021 21:00,Matmut Atlantique,Girondins de Bordeaux,Stade Rennais FC,
35,02/05/2021 21:00,Stade Francis-Le Blé,Stade Brestois 29,FC Nantes,
35,02/05/2021 21:00,Stade Gaston Gérard,Dijon FCO,FC Metz,
35,02/05/2021 21:00,Stade Pierre-Mauroy,LOSC,OGC Nice,
35,02/05/2021 21:00,Stade du Moustoir,FC Lorient,Angers SCO,
35,02/05/2021 21:00,Orange Vélodrome,Olympique de Marseille,RC Strasbourg Alsace,
35,02/05/2021 21:00,Stade Louis II,AS Monaco,Olympique Lyonnais,
35,02/05/2021 21:00,Stade de la Mosson,Montpellier Hérault SC,AS Saint-Etienne,
35,02/05/2021 21:00,Stade des Costières,Nîmes Olympique,Stade de Reims,
35,02/05/2021 21:00,Parc des Princes,Paris Saint-Germain,RC Lens,
36,09/05/2021 21:00,Stade Raymond Kopa,Angers SCO,Dijon FCO,
36,09/05/2021 21:00,Stade Bollaert-Delelis,RC Lens,LOSC,
36,09/05/2021 21:00,Groupama Stadium,Olympique Lyonnais,FC Lorient,
36,09/05/2021 21:00,Stade Saint-Symphorien,FC Metz,Nîmes Olympique,
36,09/05/2021 21:00,Stade de la Beaujoire,FC Nantes,Girondins de Bordeaux,
36,09/05/2021 21:00,Allianz Riviera,OGC Nice,Stade Brestois 29,
36,09/05/2021 21:00,Stade Auguste Delaune,Stade de Reims,AS Monaco,
36,09/05/2021 21:00,Roazhon Park,Stade Rennais FC,Paris Saint-Germain,
36,09/05/2021 21:00,Stade Geoffroy-Guichard,AS Saint-Etienne,Olympique de Marseille,
36,09/05/2021 21:00,Stade de la Meinau,RC Strasbourg Alsace,Montpellier Hérault SC,
37,16/05/2021 21:00,Matmut Atlantique,Girondins de Bordeaux,RC Lens,
37,16/05/2021 21:00,Stade Gaston Gérard,Dijon FCO,FC Nantes,
37,16/05/2021 21:00,Stade Pierre-Mauroy,LOSC,AS Saint-Etienne,
37,16/05/2021 21:00,Stade du Moustoir,FC Lorient,FC Metz,
37,16/05/2021 21:00,Orange Vélodrome,Olympique de Marseille,Angers SCO,
37,16/05/2021 21:00,Stade Louis II,AS Monaco,Stade Rennais FC,
37,16/05/2021 21:00,Stade de la Mosson,Montpellier Hérault SC,Stade Brestois 29,
37,16/05/2021 21:00,Allianz Riviera,OGC Nice,RC Strasbourg Alsace,
37,16/05/2021 21:00,Stade des Costières,Nîmes Olympique,Olympique Lyonnais,
37,16/05/2021 21:00,Parc des Princes,Paris Saint-Germain,Stade de Reims,
38,23/05/2021 21:00,Stade Raymond Kopa,Angers SCO,LOSC,
38,23/05/2021 21:00,Stade Francis-Le Blé,Stade Brestois 29,Paris Saint-Germain,
38,23/05/2021 21:00,Stade Bollaert-Delelis,RC Lens,AS Monaco,
38,23/05/2021 21:00,Groupama Stadium,Olympique Lyonnais,OGC Nice,
38,23/05/2021 21:00,Stade Saint-Symphorien,FC Metz,Olympique de Marseille,
38,23/05/2021 21:00,Stade de la Beaujoire,FC Nantes,Montpellier Hérault SC,
38,23/05/2021 21:00,Stade Auguste Delaune,Stade de Reims,Girondins de Bordeaux,
38,23/05/2021 21:00,Roazhon Park,Stade Rennais FC,Nîmes Olympique,
38,23/05/2021 21:00,Stade Geoffroy-Guichard,AS Saint-Etienne,Dijon FCO,
38,23/05/2021 21:00,Stade de la Meinau,RC Strasbourg Alsace,FC Lorient,
